entry,at,order
"""Ayush @ _e74w1sbtZ"" shows a 10♠, 5♠.",2020-10-01T07:05:00.809Z,160153590080900
"-- ending hand #213 --",2020-10-01T07:04:59.657Z,160153589965802
"""Jamz @ Xg6uSZZOvr"" collected 905 from pot with Straight, 7 High (combination: 7♠, 6♥, 5♥, 4♠, 3♣)",2020-10-01T07:04:59.657Z,160153589965801
"""Jamz @ Xg6uSZZOvr"" shows a 5♥, A♣.",2020-10-01T07:04:59.657Z,160153589965800
"""meesh @ He9325iWeJ"" calls 300",2020-10-01T07:04:58.849Z,160153589884900
"""Jamz @ Xg6uSZZOvr"" raises to 300",2020-10-01T07:04:54.766Z,160153589476700
"""meesh @ He9325iWeJ"" bets 150",2020-10-01T07:04:52.572Z,160153589257300
"river: K♥, 4♠, 3♣, 6♥ [7♠]",2020-10-01T07:04:48.384Z,160153588838900
"""Jamz @ Xg6uSZZOvr"" checks",2020-10-01T07:04:47.579Z,160153588758000
"""meesh @ He9325iWeJ"" checks",2020-10-01T07:04:42.297Z,160153588229800
"turn: K♥, 4♠, 3♣ [6♥]",2020-10-01T07:04:38.153Z,160153587815500
"""Ayush @ _e74w1sbtZ"" folds",2020-10-01T07:04:37.349Z,160153587735000
"""Steven @ GWM99dqAoi"" folds",2020-10-01T07:04:19.230Z,160153585923100
"""Jamz @ Xg6uSZZOvr"" calls 70",2020-10-01T07:04:13.178Z,160153585317900
"""meesh @ He9325iWeJ"" bets 70",2020-10-01T07:04:02.492Z,160153584249300
"flop:  [K♥, 4♠, 3♣]",2020-10-01T07:03:54.670Z,160153583467100
"""meesh @ He9325iWeJ"" calls 40",2020-10-01T07:03:53.864Z,160153583386400
"""Justin @ _g_OqsZX-M"" folds",2020-10-01T07:03:51.297Z,160153583129800
"""Ayush @ _e74w1sbtZ"" calls 40",2020-10-01T07:03:50.387Z,160153583038700
"""Steven @ GWM99dqAoi"" calls 40",2020-10-01T07:03:37.732Z,160153581773300
"""Jamz @ Xg6uSZZOvr"" raises to 40",2020-10-01T07:03:35.758Z,160153581575900
"""meesh @ He9325iWeJ"" posts a big blind of 10",2020-10-01T07:03:30.999Z,160153581100108
"""Justin @ _g_OqsZX-M"" posts a small blind of 5",2020-10-01T07:03:30.999Z,160153581100107
"Player stacks: #3 ""Jamz @ Xg6uSZZOvr"" (6708) | #5 ""Steven @ GWM99dqAoi"" (4449) | #6 ""Ayush @ _e74w1sbtZ"" (2186) | #7 ""Justin @ _g_OqsZX-M"" (10266) | #9 ""meesh @ He9325iWeJ"" (3625)",2020-10-01T07:03:30.999Z,160153581100101
"-- starting hand #213  (No Limit Texas Hold'em) (dealer: ""Ayush @ _e74w1sbtZ"") --",2020-10-01T07:03:30.999Z,160153581100100
"""Justin @ _g_OqsZX-M"" shows a K♠, A♦.",2020-10-01T07:03:28.809Z,160153580881200
"-- ending hand #212 --",2020-10-01T07:03:27.375Z,160153580737602
"""Justin @ _g_OqsZX-M"" collected 70 from pot",2020-10-01T07:03:27.375Z,160153580737601
"Uncalled bet of 35 returned to ""Justin @ _g_OqsZX-M""",2020-10-01T07:03:27.375Z,160153580737600
"""Ayush @ _e74w1sbtZ"" folds",2020-10-01T07:03:26.568Z,160153580656900
"""Justin @ _g_OqsZX-M"" bets 35",2020-10-01T07:03:19.226Z,160153579922700
"""Ayush @ _e74w1sbtZ"" checks",2020-10-01T07:03:12.693Z,160153579269400
"flop:  [2♠, 5♦, J♦]",2020-10-01T07:03:09.905Z,160153578990600
"""Ayush @ _e74w1sbtZ"" calls 30",2020-10-01T07:03:09.101Z,160153578910200
"""Steven @ GWM99dqAoi"" folds",2020-10-01T07:02:50.991Z,160153577099200
"""Justin @ _g_OqsZX-M"" raises to 30",2020-10-01T07:02:33.791Z,160153575379200
"""Ayush @ _e74w1sbtZ"" calls 10",2020-10-01T07:02:25.990Z,160153574599100
"""Steven @ GWM99dqAoi"" calls 10",2020-10-01T07:02:17.274Z,160153573727500
"""Jamz @ Xg6uSZZOvr"" folds",2020-10-01T07:01:58.309Z,160153571831000
"""meesh @ He9325iWeJ"" folds",2020-10-01T07:01:55.112Z,160153571511300
"""Justin @ _g_OqsZX-M"" posts a big blind of 10",2020-10-01T07:01:52.616Z,160153571262009
"""Ayush @ _e74w1sbtZ"" posts a small blind of 5",2020-10-01T07:01:52.616Z,160153571262008
"Player stacks: #3 ""Jamz @ Xg6uSZZOvr"" (6708) | #5 ""Steven @ GWM99dqAoi"" (4459) | #6 ""Ayush @ _e74w1sbtZ"" (2216) | #7 ""Justin @ _g_OqsZX-M"" (10226) | #9 ""meesh @ He9325iWeJ"" (3625)",2020-10-01T07:01:52.616Z,160153571262002
"-- starting hand #212  (No Limit Texas Hold'em) (dealer: ""Steven @ GWM99dqAoi"") --",2020-10-01T07:01:52.616Z,160153571262001
"The player ""AAron @ SgIZePqJyI"" quits the game with a stack of 0.",2020-10-01T07:01:52.616Z,160153571262000
"""Ayush @ _e74w1sbtZ"" shows a 4♦, Q♥.",2020-10-01T07:01:47.852Z,160153570785300
"-- ending hand #211 --",2020-10-01T07:01:46.091Z,160153570609301
"""Jamz @ Xg6uSZZOvr"" collected 2960 from pot with Straight, 6 High (combination: 6♣, 5♣, 4♥, 3♣, 2♦)",2020-10-01T07:01:46.091Z,160153570609300
"river: 2♦, 6♣, 5♣, 9♦ [3♠]",2020-10-01T07:01:43.079Z,160153570308300
"""AAron @ SgIZePqJyI"" shows a 10♠, 6♠.",2020-10-01T07:01:40.068Z,160153570006902
"""Jamz @ Xg6uSZZOvr"" shows a 3♣, 4♥.",2020-10-01T07:01:40.068Z,160153570006901
"Uncalled bet of 520 returned to ""Jamz @ Xg6uSZZOvr""",2020-10-01T07:01:40.068Z,160153570006900
"""AAron @ SgIZePqJyI"" calls 1080 and go all in",2020-10-01T07:01:39.261Z,160153569926200
"""Jamz @ Xg6uSZZOvr"" raises to 1600",2020-10-01T07:01:37.501Z,160153569750200
"""AAron @ SgIZePqJyI"" bets 800",2020-10-01T07:01:34.456Z,160153569445700
"turn: 2♦, 6♣, 5♣ [9♦]",2020-10-01T07:01:18.874Z,160153567887600
"""AAron @ SgIZePqJyI"" calls 320",2020-10-01T07:01:18.069Z,160153567806900
"""Ayush @ _e74w1sbtZ"" folds",2020-10-01T07:00:42.428Z,160153564242900
"""Steven @ GWM99dqAoi"" folds",2020-10-01T07:00:41.481Z,160153564148200
"""Jamz @ Xg6uSZZOvr"" raises to 320",2020-10-01T07:00:37.310Z,160153563731100
"""AAron @ SgIZePqJyI"" bets 160",2020-10-01T07:00:34.262Z,160153563426300
"""Ayush @ _e74w1sbtZ"" checks",2020-10-01T07:00:32.174Z,160153563217500
"""Steven @ GWM99dqAoi"" checks",2020-10-01T07:00:29.431Z,160153562943200
"flop:  [2♦, 6♣, 5♣]",2020-10-01T07:00:24.883Z,160153562488400
"""AAron @ SgIZePqJyI"" calls 40",2020-10-01T07:00:24.078Z,160153562407900
"""Ayush @ _e74w1sbtZ"" calls 40",2020-10-01T07:00:22.639Z,160153562264000
"""Steven @ GWM99dqAoi"" calls 40",2020-10-01T07:00:03.744Z,160153560374500
"""Jamz @ Xg6uSZZOvr"" raises to 40",2020-10-01T06:59:46.045Z,160153558604500
"""meesh @ He9325iWeJ"" folds",2020-10-01T06:59:42.564Z,160153558256500
"""AAron @ SgIZePqJyI"" calls 10",2020-10-01T06:59:40.910Z,160153558091100
"""Justin @ _g_OqsZX-M"" folds",2020-10-01T06:59:38.399Z,160153557840300
"""Ayush @ _e74w1sbtZ"" posts a big blind of 10",2020-10-01T06:59:36.052Z,160153557605309
"""Steven @ GWM99dqAoi"" posts a small blind of 5",2020-10-01T06:59:36.052Z,160153557605308
"Your hand is 10♠, 6♠",2020-10-01T06:59:36.052Z,160153557605306
"Player stacks: #3 ""Jamz @ Xg6uSZZOvr"" (5188) | #5 ""Steven @ GWM99dqAoi"" (4499) | #6 ""Ayush @ _e74w1sbtZ"" (2256) | #7 ""Justin @ _g_OqsZX-M"" (10226) | #8 ""AAron @ SgIZePqJyI"" (1440) | #9 ""meesh @ He9325iWeJ"" (3625)",2020-10-01T06:59:36.052Z,160153557605301
"-- starting hand #211  (No Limit Texas Hold'em) (dealer: ""Jamz @ Xg6uSZZOvr"") --",2020-10-01T06:59:36.052Z,160153557605300
"-- ending hand #210 --",2020-10-01T06:59:33.135Z,160153557313602
"""Steven @ GWM99dqAoi"" collected 360 from pot",2020-10-01T06:59:33.135Z,160153557313601
"Uncalled bet of 270 returned to ""Steven @ GWM99dqAoi""",2020-10-01T06:59:33.135Z,160153557313600
"""Ayush @ _e74w1sbtZ"" folds",2020-10-01T06:59:32.328Z,160153557232900
"""Steven @ GWM99dqAoi"" bets 270",2020-10-01T06:59:29.458Z,160153556945900
"turn: Q♣, 4♥, J♥ [Q♥]",2020-10-01T06:59:22.409Z,160153556241400
"""Jamz @ Xg6uSZZOvr"" folds",2020-10-01T06:59:21.601Z,160153556160200
"""meesh @ He9325iWeJ"" folds",2020-10-01T06:59:18.964Z,160153555896500
"""Ayush @ _e74w1sbtZ"" calls 120",2020-10-01T06:59:15.709Z,160153555571000
"""Steven @ GWM99dqAoi"" bets 120",2020-10-01T06:59:10.473Z,160153555047400
"""Jamz @ Xg6uSZZOvr"" checks",2020-10-01T06:59:07.673Z,160153554767400
"flop:  [Q♣, 4♥, J♥]",2020-10-01T06:58:55.787Z,160153553578800
"""Steven @ GWM99dqAoi"" calls 30",2020-10-01T06:58:54.982Z,160153553498300
"""Jamz @ Xg6uSZZOvr"" calls 30",2020-10-01T06:58:51.825Z,160153553182600
"""meesh @ He9325iWeJ"" calls 30",2020-10-01T06:58:47.791Z,160153552779200
"""AAron @ SgIZePqJyI"" folds",2020-10-01T06:58:43.622Z,160153552362300
"""Justin @ _g_OqsZX-M"" folds",2020-10-01T06:58:37.380Z,160153551738100
"""Ayush @ _e74w1sbtZ"" raises to 30",2020-10-01T06:58:26.515Z,160153550651600
"""Steven @ GWM99dqAoi"" posts a big blind of 10",2020-10-01T06:58:12.964Z,160153549296509
"""Jamz @ Xg6uSZZOvr"" posts a small blind of 5",2020-10-01T06:58:12.964Z,160153549296508
"Your hand is 7♠, 8♥",2020-10-01T06:58:12.964Z,160153549296506
"Player stacks: #3 ""Jamz @ Xg6uSZZOvr"" (5218) | #5 ""Steven @ GWM99dqAoi"" (4289) | #6 ""Ayush @ _e74w1sbtZ"" (2406) | #7 ""Justin @ _g_OqsZX-M"" (10226) | #8 ""AAron @ SgIZePqJyI"" (1440) | #9 ""meesh @ He9325iWeJ"" (3655)",2020-10-01T06:58:12.964Z,160153549296501
"-- starting hand #210  (No Limit Texas Hold'em) (dealer: ""meesh @ He9325iWeJ"") --",2020-10-01T06:58:12.964Z,160153549296500
"-- ending hand #209 --",2020-10-01T06:58:10.048Z,160153549004902
"""Jamz @ Xg6uSZZOvr"" collected 1820 from pot",2020-10-01T06:58:10.048Z,160153549004901
"Uncalled bet of 900 returned to ""Jamz @ Xg6uSZZOvr""",2020-10-01T06:58:10.048Z,160153549004900
"""Ayush @ _e74w1sbtZ"" folds",2020-10-01T06:58:09.241Z,160153548924200
"""Jamz @ Xg6uSZZOvr"" bets 900",2020-10-01T06:58:08.228Z,160153548822800
"river: 8♠, 10♣, J♠, J♥ [6♥]",2020-10-01T06:57:32.671Z,160153545268000
"""Ayush @ _e74w1sbtZ"" calls 400",2020-10-01T06:57:31.864Z,160153545186500
"""Jamz @ Xg6uSZZOvr"" bets 400",2020-10-01T06:57:12.333Z,160153543233300
"turn: 8♠, 10♣, J♠ [J♥]",2020-10-01T06:57:07.989Z,160153542799100
"""AAron @ SgIZePqJyI"" folds",2020-10-01T06:57:07.182Z,160153542718300
"""Ayush @ _e74w1sbtZ"" calls 360",2020-10-01T06:56:59.814Z,160153541981400
"""Jamz @ Xg6uSZZOvr"" raises to 360",2020-10-01T06:56:51.454Z,160153541145500
"""meesh @ He9325iWeJ"" folds",2020-10-01T06:56:48.479Z,160153540848000
"""AAron @ SgIZePqJyI"" raises to 180",2020-10-01T06:56:47.576Z,160153540757700
"""Ayush @ _e74w1sbtZ"" calls 60",2020-10-01T06:56:35.230Z,160153539523100
"""Jamz @ Xg6uSZZOvr"" bets 60",2020-10-01T06:56:29.813Z,160153538981400
"""meesh @ He9325iWeJ"" checks",2020-10-01T06:56:26.919Z,160153538692000
"flop:  [8♠, 10♣, J♠]",2020-10-01T06:56:23.235Z,160153538323600
"""Jamz @ Xg6uSZZOvr"" calls 30",2020-10-01T06:56:22.426Z,160153538242700
"""meesh @ He9325iWeJ"" calls 30",2020-10-01T06:56:21.528Z,160153538152900
"""AAron @ SgIZePqJyI"" calls 30",2020-10-01T06:56:18.225Z,160153537822600
"""Justin @ _g_OqsZX-M"" folds",2020-10-01T06:56:14.306Z,160153537430800
"""Ayush @ _e74w1sbtZ"" raises to 30",2020-10-01T06:56:13.419Z,160153537341900
"""Steven @ GWM99dqAoi"" folds",2020-10-01T06:55:59.228Z,160153535922900
"""Jamz @ Xg6uSZZOvr"" posts a big blind of 10",2020-10-01T06:55:52.901Z,160153535290209
"""meesh @ He9325iWeJ"" posts a small blind of 5",2020-10-01T06:55:52.901Z,160153535290208
"Your hand is J♦, 3♦",2020-10-01T06:55:52.901Z,160153535290206
"Player stacks: #3 ""Jamz @ Xg6uSZZOvr"" (4188) | #5 ""Steven @ GWM99dqAoi"" (4289) | #6 ""Ayush @ _e74w1sbtZ"" (3196) | #7 ""Justin @ _g_OqsZX-M"" (10226) | #8 ""AAron @ SgIZePqJyI"" (1650) | #9 ""meesh @ He9325iWeJ"" (3685)",2020-10-01T06:55:52.901Z,160153535290201
"-- starting hand #209  (No Limit Texas Hold'em) (dealer: ""AAron @ SgIZePqJyI"") --",2020-10-01T06:55:52.901Z,160153535290200
"-- ending hand #208 --",2020-10-01T06:55:49.994Z,160153534999502
"""Justin @ _g_OqsZX-M"" collected 295 from pot",2020-10-01T06:55:49.994Z,160153534999501
"Uncalled bet of 295 returned to ""Justin @ _g_OqsZX-M""",2020-10-01T06:55:49.994Z,160153534999500
"""meesh @ He9325iWeJ"" folds",2020-10-01T06:55:49.187Z,160153534918800
"""Justin @ _g_OqsZX-M"" bets 295",2020-10-01T06:55:47.569Z,160153534757000
"""meesh @ He9325iWeJ"" checks",2020-10-01T06:55:37.356Z,160153533735700
"turn: A♥, 3♣, 2♣ [5♦]",2020-10-01T06:55:33.331Z,160153533333200
"""meesh @ He9325iWeJ"" calls 100",2020-10-01T06:55:32.521Z,160153533252400
"""Justin @ _g_OqsZX-M"" raises to 100",2020-10-01T06:55:29.331Z,160153532933200
"""Steven @ GWM99dqAoi"" folds",2020-10-01T06:55:18.429Z,160153531843000
"""meesh @ He9325iWeJ"" bets 40",2020-10-01T06:55:11.316Z,160153531131700
"flop:  [A♥, 3♣, 2♣]",2020-10-01T06:55:06.557Z,160153530655900
"""meesh @ He9325iWeJ"" calls 30",2020-10-01T06:55:05.748Z,160153530574900
"""AAron @ SgIZePqJyI"" folds",2020-10-01T06:55:04.333Z,160153530433400
"""Justin @ _g_OqsZX-M"" calls 30",2020-10-01T06:55:02.971Z,160153530297200
"""Ayush @ _e74w1sbtZ"" folds",2020-10-01T06:55:00.544Z,160153530054400
"""Steven @ GWM99dqAoi"" raises to 30",2020-10-01T06:54:57.546Z,160153529754600
"""Jamz @ Xg6uSZZOvr"" folds",2020-10-01T06:54:52.122Z,160153529212300
"""meesh @ He9325iWeJ"" posts a big blind of 10",2020-10-01T06:54:51.057Z,160153529105809
"""AAron @ SgIZePqJyI"" posts a small blind of 5",2020-10-01T06:54:51.057Z,160153529105808
"Your hand is 8♠, 9♥",2020-10-01T06:54:51.057Z,160153529105806
"Player stacks: #3 ""Jamz @ Xg6uSZZOvr"" (4188) | #5 ""Steven @ GWM99dqAoi"" (4319) | #6 ""Ayush @ _e74w1sbtZ"" (3196) | #7 ""Justin @ _g_OqsZX-M"" (10061) | #8 ""AAron @ SgIZePqJyI"" (1655) | #9 ""meesh @ He9325iWeJ"" (3815)",2020-10-01T06:54:51.057Z,160153529105801
"-- starting hand #208  (No Limit Texas Hold'em) (dealer: ""Justin @ _g_OqsZX-M"") --",2020-10-01T06:54:51.057Z,160153529105800
"-- ending hand #207 --",2020-10-01T06:54:48.144Z,160153528814502
"""AAron @ SgIZePqJyI"" collected 85 from pot",2020-10-01T06:54:48.144Z,160153528814501
"Uncalled bet of 85 returned to ""AAron @ SgIZePqJyI""",2020-10-01T06:54:48.144Z,160153528814500
"""Steven @ GWM99dqAoi"" folds",2020-10-01T06:54:47.339Z,160153528734000
"""AAron @ SgIZePqJyI"" bets 85",2020-10-01T06:54:32.923Z,160153527292400
"flop:  [4♥, 9♦, 9♥]",2020-10-01T06:54:27.763Z,160153526776400
"""AAron @ SgIZePqJyI"" calls 40",2020-10-01T06:54:26.957Z,160153526695800
"""Justin @ _g_OqsZX-M"" folds",2020-10-01T06:54:26.020Z,160153526602100
"""Ayush @ _e74w1sbtZ"" folds",2020-10-01T06:54:19.414Z,160153525941500
"""Steven @ GWM99dqAoi"" raises to 40",2020-10-01T06:54:14.329Z,160153525433000
"""Jamz @ Xg6uSZZOvr"" folds",2020-10-01T06:54:09.675Z,160153524967600
"""meesh @ He9325iWeJ"" folds",2020-10-01T06:53:49.122Z,160153522912200
"""AAron @ SgIZePqJyI"" posts a big blind of 10",2020-10-01T06:53:46.386Z,160153522638709
"""Justin @ _g_OqsZX-M"" posts a small blind of 5",2020-10-01T06:53:46.386Z,160153522638708
"Your hand is 2♥, 2♣",2020-10-01T06:53:46.386Z,160153522638706
"Player stacks: #3 ""Jamz @ Xg6uSZZOvr"" (4188) | #5 ""Steven @ GWM99dqAoi"" (4359) | #6 ""Ayush @ _e74w1sbtZ"" (3196) | #7 ""Justin @ _g_OqsZX-M"" (10066) | #8 ""AAron @ SgIZePqJyI"" (1610) | #9 ""meesh @ He9325iWeJ"" (3815)",2020-10-01T06:53:46.386Z,160153522638701
"-- starting hand #207  (No Limit Texas Hold'em) (dealer: ""Ayush @ _e74w1sbtZ"") --",2020-10-01T06:53:46.386Z,160153522638700
"-- ending hand #206 --",2020-10-01T06:53:43.473Z,160153522347402
"""meesh @ He9325iWeJ"" collected 170 from pot",2020-10-01T06:53:43.473Z,160153522347401
"Uncalled bet of 100 returned to ""meesh @ He9325iWeJ""",2020-10-01T06:53:43.473Z,160153522347400
"""AAron @ SgIZePqJyI"" folds",2020-10-01T06:53:42.668Z,160153522266900
"""Ayush @ _e74w1sbtZ"" folds",2020-10-01T06:53:41.761Z,160153522176200
"""Jamz @ Xg6uSZZOvr"" folds",2020-10-01T06:53:40.343Z,160153522034300
"""meesh @ He9325iWeJ"" bets 100",2020-10-01T06:53:37.076Z,160153521707700
"""AAron @ SgIZePqJyI"" checks",2020-10-01T06:53:33.800Z,160153521380100
"""Ayush @ _e74w1sbtZ"" checks",2020-10-01T06:53:29.380Z,160153520938100
"flop:  [A♦, 7♦, 8♥]",2020-10-01T06:53:21.742Z,160153520174300
"""AAron @ SgIZePqJyI"" calls 40",2020-10-01T06:53:20.927Z,160153520092800
"""Justin @ _g_OqsZX-M"" folds",2020-10-01T06:53:17.756Z,160153519775700
"""Ayush @ _e74w1sbtZ"" calls 40",2020-10-01T06:53:15.170Z,160153519517100
"""Steven @ GWM99dqAoi"" folds",2020-10-01T06:53:11.187Z,160153519118800
"""Jamz @ Xg6uSZZOvr"" calls 40",2020-10-01T06:53:10.276Z,160153519027700
"""meesh @ He9325iWeJ"" raises to 40",2020-10-01T06:53:08.190Z,160153518819100
"""AAron @ SgIZePqJyI"" calls 10",2020-10-01T06:53:01.190Z,160153518119100
"""Justin @ _g_OqsZX-M"" posts a big blind of 10",2020-10-01T06:52:59.411Z,160153517941209
"""Ayush @ _e74w1sbtZ"" posts a small blind of 5",2020-10-01T06:52:59.411Z,160153517941208
"Your hand is 2♦, A♥",2020-10-01T06:52:59.411Z,160153517941206
"Player stacks: #3 ""Jamz @ Xg6uSZZOvr"" (4228) | #5 ""Steven @ GWM99dqAoi"" (4359) | #6 ""Ayush @ _e74w1sbtZ"" (3236) | #7 ""Justin @ _g_OqsZX-M"" (10076) | #8 ""AAron @ SgIZePqJyI"" (1650) | #9 ""meesh @ He9325iWeJ"" (3685)",2020-10-01T06:52:59.411Z,160153517941201
"-- starting hand #206  (No Limit Texas Hold'em) (dealer: ""Steven @ GWM99dqAoi"") --",2020-10-01T06:52:59.411Z,160153517941200
"-- ending hand #205 --",2020-10-01T06:52:56.500Z,160153517650102
"""Ayush @ _e74w1sbtZ"" collected 140 from pot",2020-10-01T06:52:56.500Z,160153517650101
"Uncalled bet of 140 returned to ""Ayush @ _e74w1sbtZ""",2020-10-01T06:52:56.500Z,160153517650100
"""Jamz @ Xg6uSZZOvr"" folds",2020-10-01T06:52:55.693Z,160153517569300
"""AAron @ SgIZePqJyI"" folds",2020-10-01T06:52:54.050Z,160153517405100
"""Ayush @ _e74w1sbtZ"" bets 140",2020-10-01T06:52:47.931Z,160153516793200
"flop:  [K♦, 6♦, 8♠]",2020-10-01T06:52:38.905Z,160153515890600
"""AAron @ SgIZePqJyI"" calls 45",2020-10-01T06:52:38.098Z,160153515809900
"""Ayush @ _e74w1sbtZ"" calls 45",2020-10-01T06:52:35.665Z,160153515566700
"""Steven @ GWM99dqAoi"" folds",2020-10-01T06:52:33.069Z,160153515306900
"""Jamz @ Xg6uSZZOvr"" raises to 45",2020-10-01T06:52:16.550Z,160153513655000
"""meesh @ He9325iWeJ"" folds",2020-10-01T06:52:13.877Z,160153513387800
"""AAron @ SgIZePqJyI"" calls 10",2020-10-01T06:52:12.972Z,160153513297300
"""Justin @ _g_OqsZX-M"" folds",2020-10-01T06:52:08.719Z,160153512872000
"""Ayush @ _e74w1sbtZ"" posts a big blind of 10",2020-10-01T06:52:06.674Z,160153512667509
"""Steven @ GWM99dqAoi"" posts a small blind of 5",2020-10-01T06:52:06.674Z,160153512667508
"Your hand is 8♥, J♣",2020-10-01T06:52:06.674Z,160153512667506
"Player stacks: #3 ""Jamz @ Xg6uSZZOvr"" (4273) | #5 ""Steven @ GWM99dqAoi"" (4364) | #6 ""Ayush @ _e74w1sbtZ"" (3141) | #7 ""Justin @ _g_OqsZX-M"" (10076) | #8 ""AAron @ SgIZePqJyI"" (1695) | #9 ""meesh @ He9325iWeJ"" (3685)",2020-10-01T06:52:06.674Z,160153512667501
"-- starting hand #205  (No Limit Texas Hold'em) (dealer: ""Jamz @ Xg6uSZZOvr"") --",2020-10-01T06:52:06.674Z,160153512667500
"-- ending hand #204 --",2020-10-01T06:52:03.762Z,160153512376302
"""Steven @ GWM99dqAoi"" collected 10 from pot",2020-10-01T06:52:03.762Z,160153512376301
"Uncalled bet of 5 returned to ""Steven @ GWM99dqAoi""",2020-10-01T06:52:03.762Z,160153512376300
"""Jamz @ Xg6uSZZOvr"" folds",2020-10-01T06:52:02.949Z,160153512295000
"""meesh @ He9325iWeJ"" folds",2020-10-01T06:52:01.996Z,160153512199700
"""AAron @ SgIZePqJyI"" folds",2020-10-01T06:51:59.311Z,160153511931200
"""Justin @ _g_OqsZX-M"" folds",2020-10-01T06:51:58.407Z,160153511840800
"""Ayush @ _e74w1sbtZ"" folds",2020-10-01T06:51:55.933Z,160153511593400
"""Steven @ GWM99dqAoi"" posts a big blind of 10",2020-10-01T06:51:48.799Z,160153510880009
"""Jamz @ Xg6uSZZOvr"" posts a small blind of 5",2020-10-01T06:51:48.799Z,160153510880008
"Your hand is 5♦, 4♥",2020-10-01T06:51:48.799Z,160153510880006
"Player stacks: #3 ""Jamz @ Xg6uSZZOvr"" (4278) | #5 ""Steven @ GWM99dqAoi"" (4359) | #6 ""Ayush @ _e74w1sbtZ"" (3141) | #7 ""Justin @ _g_OqsZX-M"" (10076) | #8 ""AAron @ SgIZePqJyI"" (1695) | #9 ""meesh @ He9325iWeJ"" (3685)",2020-10-01T06:51:48.799Z,160153510880001
"-- starting hand #204  (No Limit Texas Hold'em) (dealer: ""meesh @ He9325iWeJ"") --",2020-10-01T06:51:48.799Z,160153510880000
"-- ending hand #203 --",2020-10-01T06:51:45.887Z,160153510588802
"""Jamz @ Xg6uSZZOvr"" collected 365 from pot",2020-10-01T06:51:45.887Z,160153510588801
"Uncalled bet of 200 returned to ""Jamz @ Xg6uSZZOvr""",2020-10-01T06:51:45.887Z,160153510588800
"""AAron @ SgIZePqJyI"" folds",2020-10-01T06:51:45.080Z,160153510508100
"""Steven @ GWM99dqAoi"" folds",2020-10-01T06:51:43.960Z,160153510396100
"""Jamz @ Xg6uSZZOvr"" bets 200",2020-10-01T06:51:30.528Z,160153509053000
"flop:  [10♣, 3♥, A♥]",2020-10-01T06:51:26.621Z,160153508662200
"""AAron @ SgIZePqJyI"" calls 120",2020-10-01T06:51:25.810Z,160153508581100
"""Steven @ GWM99dqAoi"" calls 120",2020-10-01T06:51:23.485Z,160153508348600
"""Jamz @ Xg6uSZZOvr"" raises to 120",2020-10-01T06:51:17.945Z,160153507794800
"""meesh @ He9325iWeJ"" folds",2020-10-01T06:51:15.052Z,160153507505300
"""AAron @ SgIZePqJyI"" calls 40",2020-10-01T06:51:13.813Z,160153507381400
"""Justin @ _g_OqsZX-M"" folds",2020-10-01T06:51:12.721Z,160153507272200
"""Ayush @ _e74w1sbtZ"" folds",2020-10-01T06:51:11.152Z,160153507115300
"""Steven @ GWM99dqAoi"" raises to 40",2020-10-01T06:51:10.123Z,160153507012400
"""Jamz @ Xg6uSZZOvr"" posts a big blind of 10",2020-10-01T06:51:04.815Z,160153506481609
"""meesh @ He9325iWeJ"" posts a small blind of 5",2020-10-01T06:51:04.815Z,160153506481608
"Your hand is 7♣, 7♠",2020-10-01T06:51:04.815Z,160153506481606
"Player stacks: #3 ""Jamz @ Xg6uSZZOvr"" (4033) | #5 ""Steven @ GWM99dqAoi"" (4479) | #6 ""Ayush @ _e74w1sbtZ"" (3141) | #7 ""Justin @ _g_OqsZX-M"" (10076) | #8 ""AAron @ SgIZePqJyI"" (1815) | #9 ""meesh @ He9325iWeJ"" (3690)",2020-10-01T06:51:04.815Z,160153506481601
"-- starting hand #203  (No Limit Texas Hold'em) (dealer: ""AAron @ SgIZePqJyI"") --",2020-10-01T06:51:04.815Z,160153506481600
"-- ending hand #202 --",2020-10-01T06:51:01.904Z,160153506190502
"""Justin @ _g_OqsZX-M"" collected 195 from pot",2020-10-01T06:51:01.904Z,160153506190501
"Uncalled bet of 195 returned to ""Justin @ _g_OqsZX-M""",2020-10-01T06:51:01.904Z,160153506190500
"""Ayush @ _e74w1sbtZ"" folds",2020-10-01T06:51:01.097Z,160153506109900
"""Justin @ _g_OqsZX-M"" bets 195",2020-10-01T06:50:59.404Z,160153505940500
"""Ayush @ _e74w1sbtZ"" checks",2020-10-01T06:50:53.079Z,160153505308000
"flop:  [Q♦, 7♥, 7♣]",2020-10-01T06:50:43.454Z,160153504345500
"""Ayush @ _e74w1sbtZ"" calls 90",2020-10-01T06:50:42.649Z,160153504265000
"""meesh @ He9325iWeJ"" folds",2020-10-01T06:50:33.019Z,160153503302000
"""AAron @ SgIZePqJyI"" folds",2020-10-01T06:50:32.111Z,160153503211200
"""Justin @ _g_OqsZX-M"" raises to 90",2020-10-01T06:50:27.958Z,160153502795800
"""Ayush @ _e74w1sbtZ"" raises to 30",2020-10-01T06:50:20.850Z,160153502085100
"""Steven @ GWM99dqAoi"" folds",2020-10-01T06:50:05.225Z,160153500522600
"""Jamz @ Xg6uSZZOvr"" folds",2020-10-01T06:50:04.327Z,160153500432800
"""meesh @ He9325iWeJ"" posts a big blind of 10",2020-10-01T06:50:03.305Z,160153500330709
